title,abstract,keywords,Dosen,content,user_id
diagnosis kanker payudara mamdani,kanker payudara salah penyakit kanker menyebabkan kematian penderitanya indonesia kanker payudara menempati urutan penyebab kematian tertinggi perempuan indonesia dikembangkan diagnosis kanker payudara mamdani masukan atribut birads breast imagingreporting shape margin set mammografik bentuk numerik 3 tahap utama perangkat lunak fuzzifikasi inferensi defuzzifikasi mamdani tahap inferensi mamdani operator konjungsi disjungsi tahap defuzzifikasi centroid keluaran bernilai crisp basis aturan 125 aturan menghasilkan perangkat lunak menghasilkan diagnosa kanker payudara tingkat sensitivity mencapai 84 tingkat specificity mencapai 91 perangkat lunak alat pembelajaran mahasiswa kedokteran,diagnosis kanker payudara mamdani mammografi,rifkie primartha,diagnosis kanker payudara mamdani diagnosis kanker payudara mamdani mammografi kanker payudara salah penyakit kanker menyebabkan kematian penderitanya indonesia kanker payudara menempati urutan penyebab kematian tertinggi perempuan indonesia dikembangkan diagnosis kanker payudara mamdani masukan atribut birads breast imagingreporting shape margin set mammografik bentuk numerik 3 tahap utama perangkat lunak fuzzifikasi inferensi defuzzifikasi mamdani tahap inferensi mamdani operator konjungsi disjungsi tahap defuzzifikasi centroid keluaran bernilai crisp basis aturan 125 aturan menghasilkan perangkat lunak menghasilkan diagnosa kanker payudara tingkat sensitivity mencapai 84 tingkat specificity mencapai 91 perangkat lunak alat pembelajaran mahasiswa kedokteran,mhs_10
pengolahan hewan ternak dinas peternakan kabupaten pali web,mempermudah mempercepat pekerjaan admin mengelolah hewan keluhan hewan vaksin hewan dinas peternakan pali admin melalukan pembuatan laporan keluhan hewan dinas peternakan pali,web penglahan hewan,anggina primanita,pengolahan hewan ternak dinas peternakan kabupaten pali web web penglahan hewan mempermudah mempercepat pekerjaan admin mengelolah hewan keluhan hewan vaksin hewan dinas peternakan pali admin melalukan pembuatan laporan keluhan hewan dinas peternakan pali,mhs_11
diagnosis penyakit diabetes mellitus case reasoning,mengembangkan perangkat lunak mendiagnosis penyakit diabetes mellitus case reasoning cbr permasalahan dipecahkan menerapkan case reasoning cbr dipakai kesamaan diagnosis memasukkan berisi gejalagejala faktor risiko parameter input perangkat lunak perhitungan kesamaan dipakai kesamaan cosine similarity penentuan diagnosis solusi dimiliki similarity berhasil didiagnosis revisi berhasil direvisi disimpan dijadikan pengetahuan case reasoning cbr diterapkan mendiagnosis penyakit diabetes mellitus menghasilkan tingkat kecocokan 94 tujuh belas uji,case reasoning cosine similarity diagnosis diabetes mellitus,julian supardi,diagnosis penyakit diabetes mellitus case reasoning case reasoning cosine similarity diagnosis diabetes mellitus mengembangkan perangkat lunak mendiagnosis penyakit diabetes mellitus case reasoning cbr permasalahan dipecahkan menerapkan case reasoning cbr dipakai kesamaan diagnosis memasukkan berisi gejalagejala faktor risiko parameter input perangkat lunak perhitungan kesamaan dipakai kesamaan cosine similarity penentuan diagnosis solusi dimiliki similarity berhasil didiagnosis revisi berhasil direvisi disimpan dijadikan pengetahuan case reasoning cbr diterapkan mendiagnosis penyakit diabetes mellitus menghasilkan tingkat kecocokan 94 tujuh belas uji,mhs_12
pengelompokan dokumen berita cmeans,news presented amount type many difficult grouped manually news read carefully one one led search news difficulty finding appropriate implements cmeans classify documents indonesian language news viewing common content words document cmeans classifying clusters degree membership allows able enter one cluster principle grouping minimize objective function determine degree initial membership greater degree membership cluster greater cluster members tests 200 datasets extracted online media shows highest fmeasure 098 experiment showed highly dependent number variations words weighting,pengelompokan berita cmeans,rifkie primartha,pengelompokan dokumen berita cmeans pengelompokan berita cmeans news presented amount type many difficult grouped manually news read carefully one one led search news difficulty finding appropriate implements cmeans classify documents indonesian language news viewing common content words document cmeans classifying clusters degree membership allows able enter one cluster principle grouping minimize objective function determine degree initial membership greater degree membership cluster greater cluster members tests 200 datasets extracted online media shows highest fmeasure 098 experiment showed highly dependent number variations words weighting,mhs_13
perbandingan floyd warshall pencarian rute terpendek lokasi rumah sakit palembang,issue shortest route search optimization often encountered everyday life issue resolved properly efficiently specific conducted compare processing time floyd warshall find shortest route palembang general hospitals name location destination hospitals help google maps concluded asimptotik time complexity smaller floyd warshall complexity on3 show faster proven search time utilizing software search time route hospital average time 0039385 second faster floyd warshall average time 0079425 second software expected later help providing solution find shortest route hospitals palembang,shortest route search floyd warshall google maps,rifkie primartha,perbandingan floyd warshall pencarian rute terpendek lokasi rumah sakit palembang shortest route search floyd warshall google maps issue shortest route search optimization often encountered everyday life issue resolved properly efficiently specific conducted compare processing time floyd warshall find shortest route palembang general hospitals name location destination hospitals help google maps concluded asimptotik time complexity smaller floyd warshall complexity on3 show faster proven search time utilizing software search time route hospital average time 0039385 second faster floyd warshall average time 0079425 second software expected later help providing solution find shortest route hospitals palembang,mhs_14
pencarian jalur terpendek masjid bee colony optimization,travelling salesman tsp rute terpendek melewati kota masingmasing kota dilewati kali orang kota asalnya salah contoh objek tsp masjid masjid salah dikunjungi masyarakat masjid dijangkau lokasinya pengunjung bee colony optimization bco mencari rute terpendek masjid faktor masukan nama alamat longitude latitude masjid google maps masjid mempengaruhi perhitungan fitness terbaik penggunaan bee colony optimization bco mencari rute terpendek masjid,rute terbaik latitude longitude bee colony optimization,rifkie primartha,pencarian jalur terpendek masjid bee colony optimization rute terbaik latitude longitude bee colony optimization travelling salesman tsp rute terpendek melewati kota masingmasing kota dilewati kali orang kota asalnya salah contoh objek tsp masjid masjid salah dikunjungi masyarakat masjid dijangkau lokasinya pengunjung bee colony optimization bco mencari rute terpendek masjid faktor masukan nama alamat longitude latitude masjid google maps masjid mempengaruhi perhitungan fitness terbaik penggunaan bee colony optimization bco mencari rute terpendek masjid,mhs_15
game adaptive artificial intelligence dynamic scripting turn game,turn strategy battle game genre role playing game fighting game runs turns players take action enemy must wait turn npc non player character agent controlled artificial intelligence good quality artificial intelligence becomes key success factor game one many interactions players npc makers movement action players recorded npc attack player embedded artificial intelligence perform decisions making dynamic scripting npc make choose good decisions actions players need new tactics beat npc,kecerdasan buatan pengambil keputusan game ai role playing gameturn battledynamic scripting,rifkie primartha,game adaptive artificial intelligence dynamic scripting turn game kecerdasan buatan pengambil keputusan game ai role playing gameturn battledynamic scripting turn strategy battle game genre role playing game fighting game runs turns players take action enemy must wait turn npc non player character agent controlled artificial intelligence good quality artificial intelligence becomes key success factor game one many interactions players npc makers movement action players recorded npc attack player embedded artificial intelligence perform decisions making dynamic scripting npc make choose good decisions actions players need new tactics beat npc,mhs_16
game adaptive artificial intelligence dynamic scripting turn game,turn strategy battle game genre role playing game fighting game runs turns players take action enemy must wait turn npc non player character agent controlled artificial intelligence good quality artificial intelligence becomes key success factor game one many interactions players npc makers movement action players recorded npc attack player embedded artificial intelligence perform decisions making dynamic scripting npc make choose good decisions actions players need new tactics beat npc,kecerdasan buatan pengambil keputusan game ai role playing gameturn battledynamic scripting,anggina primanita,game adaptive artificial intelligence dynamic scripting turn game kecerdasan buatan pengambil keputusan game ai role playing gameturn battledynamic scripting turn strategy battle game genre role playing game fighting game runs turns players take action enemy must wait turn npc non player character agent controlled artificial intelligence good quality artificial intelligence becomes key success factor game one many interactions players npc makers movement action players recorded npc attack player embedded artificial intelligence perform decisions making dynamic scripting npc make choose good decisions actions players need new tactics beat npc,mhs_17
interaksi scaling objek augmented reality tangan 3d alami pendekatan stereo vision,augmented reality ar teknologi lanjutan virtual reality objek virtual 3d dunia nyata penggunaan jenis display berinteraksi langsung objek virtual ditemukan ar berinteraksi objek virtual langsung tangan alat bantu pendekatan stereo vision 3 tahap 1 pendeteksian kulit 2 penentuan fitur 3 interaksi sederhana objek virtual perubahan bentuk objek virtual didasarkan perubahan koordinat tangan temuan interaksi tangan objek virtual lancar bergantung kondisi warna kulit jarak cahaya latar interaksi langsung objek virtual,interaksi tangan augmented reality stereo vision 3d objek virtual,rifkie primartha,interaksi scaling objek augmented reality tangan 3d alami pendekatan stereo vision interaksi tangan augmented reality stereo vision 3d objek virtual augmented reality ar teknologi lanjutan virtual reality objek virtual 3d dunia nyata penggunaan jenis display berinteraksi langsung objek virtual ditemukan ar berinteraksi objek virtual langsung tangan alat bantu pendekatan stereo vision 3 tahap 1 pendeteksian kulit 2 penentuan fitur 3 interaksi sederhana objek virtual perubahan bentuk objek virtual didasarkan perubahan koordinat tangan temuan interaksi tangan objek virtual lancar bergantung kondisi warna kulit jarak cahaya latar interaksi langsung objek virtual,mhs_18
apriori aturan asosiasi menentukan pola pembelian barang,association rule rules know item combination occurrence multiple attributes database association rule needs search item frequency one priori form frequent items sets association techniques priori forms candidate combinations items tested produce minimum support minimum confidence parameters purpose final task know effect apriori association rules forming candidate items conclusion thesis priori able search item frequency association rule identify goods purchased simultaneously utilized store owner providing goods needed set layout goods,association rules priori support confidence,danny matthew saputra,apriori aturan asosiasi menentukan pola pembelian barang association rules priori support confidence association rule rules know item combination occurrence multiple attributes database association rule needs search item frequency one priori form frequent items sets association techniques priori forms candidate combinations items tested produce minimum support minimum confidence parameters purpose final task know effect apriori association rules forming candidate items conclusion thesis priori able search item frequency association rule identify goods purchased simultaneously utilized store owner providing goods needed set layout goods,mhs_19
ekstraksi ciri wajah improved harmony search,improved harmony search ihsa harmony search hsa genetic ga applied extract facial features edges horizontal directions 100 images 20 different faces california institute technology show ihsa better terms speed compared hsa ga ihsa average 7624501 00718 seconds average time hsa 7586093 007224 seconds average time ga 7430174 takes average time 364858 seconds,ekstraksi ciri wajah genetic harmony search improved harmony search,kanda januar miraswan,ekstraksi ciri wajah improved harmony search ekstraksi ciri wajah genetic harmony search improved harmony search improved harmony search ihsa harmony search hsa genetic ga applied extract facial features edges horizontal directions 100 images 20 different faces california institute technology show ihsa better terms speed compared hsa ga ihsa average 7624501 00718 seconds average time hsa 7586093 007224 seconds average time ga 7430174 takes average time 364858 seconds,mhs_20
optimasi genetika ketepatan mahasiswa,effective widely independences features assume features important need calculated individually determine affects optimize genetic obtain important features calculated determine increase informatics students sriwijaya university class 2011 2013 done timeliness student shows average 83 average increase 8 without optimization maximum reached optimization 8412 27 selected features genetic gives better effect naãve increase,genetic,danny matthew saputra,optimasi genetika ketepatan mahasiswa genetic effective widely independences features assume features important need calculated individually determine affects optimize genetic obtain important features calculated determine increase informatics students sriwijaya university class 2011 2013 done timeliness student shows average 83 average increase 8 without optimization maximum reached optimization 8412 27 selected features genetic gives better effect naãve increase,mhs_21
deteksi wajah variasi segmentasi randomized hough transform rht,face detection one earlier phase face recognition get faces area digital image without affected face orientation lights condition background expression detected face area usually shaped rectangle many pixels rectangle part face especially four image corners ellipse replacement rectangle detected face shaped ellipses various sizes orientations digital image segmentations detect face candidates area ellipse formed randomized hough transform rht influenced center point ellipse candidates rht found three random pixels segmented image rate success rht determined segmentation tested various thresholds get best 7952,face detection randomized hough transform image segmentation ellipse,desty rodiah,deteksi wajah variasi segmentasi randomized hough transform rht face detection randomized hough transform image segmentation ellipse face detection one earlier phase face recognition get faces area digital image without affected face orientation lights condition background expression detected face area usually shaped rectangle many pixels rectangle part face especially four image corners ellipse replacement rectangle detected face shaped ellipses various sizes orientations digital image segmentations detect face candidates area ellipse formed randomized hough transform rht influenced center point ellipse candidates rht found three random pixels segmented image rate success rht determined segmentation tested various thresholds get best 7952,mhs_22
cuckoo search backpropagation levenberg marquardt memprediksi cuaca kota palembang,weather activity related science technology estimate future atmospheric conditions bplm backpropagation levenberg marquarts artificial neural build weather shortcoming highly dependent initial random weights stage begin therefore cs optimization cuckoo search initialize initial weight bplm weather done dividing class 5 categories namely mild mild medium heavy heavy rain sourced bmkg daily weather element city palembang test show cslm cuckoo search backpropagation levenberg marquarts bplm able predict 3 5 weather categories mild mild medium rain cslm produces average validation 5958 average 6363,cuaca backpropagation levenberg marquarts cuckoo search,rifkie primartha,cuckoo search backpropagation levenberg marquardt memprediksi cuaca kota palembang cuaca backpropagation levenberg marquarts cuckoo search weather activity related science technology estimate future atmospheric conditions bplm backpropagation levenberg marquarts artificial neural build weather shortcoming highly dependent initial random weights stage begin therefore cs optimization cuckoo search initialize initial weight bplm weather done dividing class 5 categories namely mild mild medium heavy heavy rain sourced bmkg daily weather element city palembang test show cslm cuckoo search backpropagation levenberg marquarts bplm able predict 3 5 weather categories mild mild medium rain cslm produces average validation 5958 average 6363,mhs_23
cuckoo search backpropagation levenberg marquardt memprediksi cuaca kota palembang,weather activity related science technology estimate future atmospheric conditions bplm backpropagation levenberg marquarts artificial neural build weather shortcoming highly dependent initial random weights stage begin therefore cs optimization cuckoo search initialize initial weight bplm weather done dividing class 5 categories namely mild mild medium heavy heavy rain sourced bmkg daily weather element city palembang test show cslm cuckoo search backpropagation levenberg marquarts bplm able predict 3 5 weather categories mild mild medium rain cslm produces average validation 5958 average 6363,cuaca backpropagation levenberg marquarts cuckoo search,kanda januar miraswan,cuckoo search backpropagation levenberg marquardt memprediksi cuaca kota palembang cuaca backpropagation levenberg marquarts cuckoo search weather activity related science technology estimate future atmospheric conditions bplm backpropagation levenberg marquarts artificial neural build weather shortcoming highly dependent initial random weights stage begin therefore cs optimization cuckoo search initialize initial weight bplm weather done dividing class 5 categories namely mild mild medium heavy heavy rain sourced bmkg daily weather element city palembang test show cslm cuckoo search backpropagation levenberg marquarts bplm able predict 3 5 weather categories mild mild medium rain cslm produces average validation 5958 average 6363,mhs_24
radial basis function backpropagation pengenalan aksara ulu kaganga,handwritten character recognition one r search field tudied long time handwriting recognition depends image processing proces e traction meth factors u h charact r patt similarity th handwriting variations al affect th r cognition ult preproces ing u ed thi earch gray caling binerization thinning featur xtraction thod zone entroid zone zcz th recogbnition combination radial ba function backpropagation r sult software abl recognize handwriting ulu ka anga cript 80 3,recognition handwriting zone centroid zone radial basis function backpropagation,anggina primanita,radial basis function backpropagation pengenalan aksara ulu kaganga recognition handwriting zone centroid zone radial basis function backpropagation handwritten character recognition one r search field tudied long time handwriting recognition depends image processing proces e traction meth factors u h charact r patt similarity th handwriting variations al affect th r cognition ult preproces ing u ed thi earch gray caling binerization thinning featur xtraction thod zone entroid zone zcz th recogbnition combination radial ba function backpropagation r sult software abl recognize handwriting ulu ka anga cript 80 3,mhs_25
review buku bahasa indonesia situs goodreads recurrent neural network,pembangunan perangkat lunak review buku berbahasa indonesia situs goodreads diimplementasikan recurrent neural network berhasil ratarata didapatkan review buku berbahasa indonesia situs goodreads recurrent neural network recall 761 precision 733 fmeasure 7467 733,recurrent neural network,novi yusliani,review buku bahasa indonesia situs goodreads recurrent neural network recurrent neural network pembangunan perangkat lunak review buku berbahasa indonesia situs goodreads diimplementasikan recurrent neural network berhasil ratarata didapatkan review buku berbahasa indonesia situs goodreads recurrent neural network recall 761 precision 733 fmeasure 7467 733,mhs_26
optimasi particle swarm optimization pso penderita penyakit parkinson,quite effective widely disadvantages nature independence attributes assume attributes calculations individually determine effect produced therefore optimization needed overcome independent nature optimizes attribute weighting particle swarm optimization pso voice recording parkinsons sufferers total number 1040 large amount suitable naãve done dividing 3 experimental configurations first experiment configuration done tuning population produced best population number namely 30 populations second experimental configuration tuning number generations optimal number generations 40 generations third experimental configuration comparing optimization optimal parameters configuration optimization third trial resulted parkinsons sufferers 6808 increase average reaches 62 optimization maximum optimized pso reached 7308 weighting attributes performed pso succeeded increasing naãve classifying parkinsons sufferers,attribute weighting naãve particle swarm optimizationpso parkinsonâs disease,kanda januar miraswan,optimasi particle swarm optimization pso penderita penyakit parkinson attribute weighting naãve particle swarm optimizationpso parkinsonâs disease quite effective widely disadvantages nature independence attributes assume attributes calculations individually determine effect produced therefore optimization needed overcome independent nature optimizes attribute weighting particle swarm optimization pso voice recording parkinsons sufferers total number 1040 large amount suitable naãve done dividing 3 experimental configurations first experiment configuration done tuning population produced best population number namely 30 populations second experimental configuration tuning number generations optimal number generations 40 generations third experimental configuration comparing optimization optimal parameters configuration optimization third trial resulted parkinsons sufferers 6808 increase average reaches 62 optimization maximum optimized pso reached 7308 weighting attributes performed pso succeeded increasing naãve classifying parkinsons sufferers,mhs_27
evaluasi tingkat playability game visual novel game flow ugalco,visual novel one computer gameâs genre different yet simple gameplay compare others player choose one choices given game leads plot story difference game play makes impact player experience one way know player experience evaluating playability evaluation done two game flow ugalco scope elements evaluated larger two applied test bed game built game released evaluation done giving translated questionnaire includes 37 questions 52 participants showed game built specifically playability 331 within game flowâs 05 range 068 within ugalco 01 range done visual novel elements bring biggest impact playability challenge interface game,permainan komputer visual novel playability experience game flow ugalco,anggina primanita,evaluasi tingkat playability game visual novel game flow ugalco permainan komputer visual novel playability experience game flow ugalco visual novel one computer gameâs genre different yet simple gameplay compare others player choose one choices given game leads plot story difference game play makes impact player experience one way know player experience evaluating playability evaluation done two game flow ugalco scope elements evaluated larger two applied test bed game built game released evaluation done giving translated questionnaire includes 37 questions 52 participants showed game built specifically playability 331 within game flowâs 05 range 068 within ugalco 01 range done visual novel elements bring biggest impact playability challenge interface game,mhs_28
opinion mining komentar youtube kmeans,public opinion youtube video comments potential source find public interest certain topic opinion mining technique processing obtaining opinion sentence developed opinion mining software kmeans could classify comments three groups positive negative neutral word weighting technique corpus preprocessing weighting sentence showed software able classify comments 91 test 500 comments developed better update corpus every sentence implementation,opinion mining opinion kmeans,rifkie primartha,opinion mining komentar youtube kmeans opinion mining opinion kmeans public opinion youtube video comments potential source find public interest certain topic opinion mining technique processing obtaining opinion sentence developed opinion mining software kmeans could classify comments three groups positive negative neutral word weighting technique corpus preprocessing weighting sentence showed software able classify comments 91 test 500 comments developed better update corpus every sentence implementation,mhs_29
ekstraksi ciri teks gambar alami enggunakan random ferns convolutional cooccurrence hog,natural image images represents human eye sees daily recognition natural images many obstacles lighting shooting angle variations fonts recognizing word natural image consists three stages detecting location characters image recognizing detected characters combining recognized characters words focused extraction character detection random ferns recognition detected characters convolutional cooccurrence histogram oriented gradient trained tested icdar 2003 provide high detected words,extraction recognition natural image random ferns convolutional cooccurrence histogram oriented gradient,anggina primanita,ekstraksi ciri teks gambar alami enggunakan random ferns convolutional cooccurrence hog extraction recognition natural image random ferns convolutional cooccurrence histogram oriented gradient natural image images represents human eye sees daily recognition natural images many obstacles lighting shooting angle variations fonts recognizing word natural image consists three stages detecting location characters image recognizing detected characters combining recognized characters words focused extraction character detection random ferns recognition detected characters convolutional cooccurrence histogram oriented gradient trained tested icdar 2003 provide high detected words,mhs_30
perbandingan kmeans single linkage cluster,kmeans single linkage grouping iris k cluster three kmeans single linkage differences kmeans centroid point grouping single linkage centroid point grouping closest distance order find effect centroid point two grouping proposing comparing kmeans single linkage considering computation time test known kmeans better single linkage,kmeans single linkage euclidean distance,danny matthew saputra,perbandingan kmeans single linkage cluster kmeans single linkage euclidean distance kmeans single linkage grouping iris k cluster three kmeans single linkage differences kmeans centroid point grouping single linkage centroid point grouping closest distance order find effect centroid point two grouping proposing comparing kmeans single linkage considering computation time test known kmeans better single linkage,mhs_31
pemetaan flowchart bahasa c rulebased translation,understanding written programming languages requires sufficient basic knowledge syntax rules programming language easier understand made visual form like flowchart form flowchart translated form language c rulebased translation first step form flowchart translated pseudocode form form pseudocode translated form c programming language rulebased translation applied translation form pseudocode c programming language develop software map form flowchart c programming language determine rulebased translation rbmt translate flowchart form c programming language type primary users still unfamiliar c programming language,flowchart pseudocode c programming language rulebased translation,novi yusliani,pemetaan flowchart bahasa c rulebased translation flowchart pseudocode c programming language rulebased translation understanding written programming languages requires sufficient basic knowledge syntax rules programming language easier understand made visual form like flowchart form flowchart translated form language c rulebased translation first step form flowchart translated pseudocode form form pseudocode translated form c programming language rulebased translation applied translation form pseudocode c programming language develop software map form flowchart c programming language determine rulebased translation rbmt translate flowchart form c programming language type primary users still unfamiliar c programming language,mhs_32
