title,abstract,keywords,date,creators,url
PERBANDINGAN PERFORMA APLIKASI E-COMMERCE DALAM LINGKUNGAN KONTAINER DAN LINGKUNGAN NON-KONTAINER,"A good-performing e-commerce application system is expected to handle user requests quickly and reliably, especially during traffic spikes. As the number of users increases, the system requires a robust architecture to maintain efficiency and service stability. Docker is a kontainer-based platform designed to run applications in isolation, offering improved performance compared to non-kontainerized environments such as XAMPP. This study aims to compare the performance of an e-commerce application in both environments using the Grafana K6 testing tool. The evaluation focuses on two key metrics: error rate and processing time, with virtual user (VU) variations ranging from 500 to 5000. The results show that the Docker environment maintained a 0% error rate up to 2000 VU and only reached 13% at 5000 VU. In contrast, the non-kontainer environment began showing errors at 1000 VU and surged to 73% at 5000 VU. In terms of processing time, Docker demonstrated more stable and consistent performance under high load, while the non-kontainer environment exhibited irregular and declining performance as the traffic increased. Based on these findings, Docker is considered more suitable for supporting large-scale e-commerce systems that require scalability and resilience under heavy load.","Kontainer, Non-kontainer, E-commerce, Error Rate, Processing Time.",7/25/2025,"IHSAN, MUHAMMAD ZIKRILLAH; Marieska, Mastura Diana",http://repository.unsri.ac.id/182721/
IMPLEMENTASI REINFORCEMENT LEARNING PADA AGEN PENGHINDAR HALANGAN OTOMATIS DALAM GAME ENDLESS RUNNER,"With technological advancements, the application of Artificial Intelligence (AI) has been widely adopted across various industries, including the gaming industry. In games, AI can be used to procedurally generate content, analyze user behavior, and develop AI agents. This study aims to develop and evaluate an AI agent capable of independent learning and adaptation in an endless runner game environment. The research methodology includes the implementation of reinforcement learning with the Proximal Policy Optimization (PPO) algorithm to train the agent in making optimal decisions related to character movement for obstacle avoidance. Research results demonstrate that the AI agent performs well, successfully passing an average of 53 obstacles with a standard deviation ratio of 0.289 across 10 trials, and achieving 97% accuracy in navigating through 100 obstacles. This research This research can be the basis for developing AI in games and can be further developed into a multi-agent scenario, where two agents interact within the same environment but with different objectives.","Pembelajaran Mesin, Kecerdasan Buatan, Pembuatan Game",7/11/2025,"INOCHI, KAKA; Primanita, Anggina",http://repository.unsri.ac.id/181713/
PEMBANGKITAN TINGKAT BANTUAN ADAPTIF PADA PERMAINAN PEMBELAJARAN PEMROGRAMAN MENGGUNAKAN LOGIKA SAMAR,"Educational games require an adaptive assistance level system to adjust the level of help provided according to the player's ability. This study aims to develop an adaptive assistance level system based on fuzzy logic using the Mamdani and Sugeno methods, with inputs including stars, completion, and time. The system was implemented using the Python programming language and tested with 1,000 simulated data entries generated based on the stars, completion, and time variables. The Mamdani method was used to produce linguistic outputs, while the Sugeno method generated numerical outputs. Evaluation results showed that the Mamdani method was more stable, with a standard deviation of 0.3353, while the Sugeno method exhibited greater variation with a standard deviation of 0.6045. In conclusion, fuzzy logic can effectively provide adaptive assistance based on player performance in educational games.",,7/11/2025,"ISKANDAR, ANANDA HAYKEL; Primanita, Anggina",http://repository.unsri.ac.id/181299/
"PENERAPAN FITUR SISTEM INFORMASI LAYANAN 
PENGAJUAN LEGALISIR IJAZAH TERINTEGRASI e-PPT 
DENGAN MENGGUNAKAN QUICK RESPONSE (QR) CODE DI 
FAKULTAS ILMU KOMPUTER UNIVERSITAS SRIWIJAYA","Manual diploma legalization services at the Faculty of Computer Science, Sriwijaya University face obstacles such as long queues, inefficient processes, and the risk of errors and document forgery. This study develops a web-based information system that is integrated with e-PPT and utilizes QR Codes to verify the authenticity of documents. This system makes it easier for alumni to apply for 
legalization without having to come to campus and helps administrative officers process and verify documents faster and more safely. The test results show an 
increase in service efficiency and a decrease in the risk of verification errors.","Legalisir ijazah, sistem informasi, e-PPT, QR Code.",6/13/2025,"KHADIJAH, TASYA; Fachrurrozi, Muhammad",http://repository.unsri.ac.id/176135/
KLASIFIKASI KESEHATAN MENTAL BERDASARKAN UNGGAHAN MEDIA SOSIAL MENGGUNAKAN TF-IDF DAN XGBOOST,"Mental health is a critical issue in global public health, especially in the digital era where individuals often express their psychological conditions through social media posts. This study aims to develop a multi-class classification model to detect mental health conditions based on social media text using TF-IDF (term frequency–inverse document frequency) for feature extraction and XGBoost (extreme gradient boosting) as the classification algorithm. The dataset used consists of 53,043 English texts categorized into seven mental health classes: Normal, Depression, Suicidal, Anxiety, Stress, Bipolar, and Personality Disorder. The best-performing model, with hyperparameters set to learning rate = 0.2, max depth = 5, and n_estimators = 1000, achieved an accuracy of 78%.","XGBoost, TF-IDF, Klasifikasi Multikelas",6/26/2025,"KHOIRUNNISA, YASMIN NUHA; Utami, Alvi Syahrini",http://repository.unsri.ac.id/179373/
ANALISIS SENTIMEN ULASAN APLIKASI MYXL PADA GOOGLE PLAY STORE MENGGUNAKAN NAIVE BAYES,"The growth of internet users in Indonesia, reaching 221 million in 2024, has 
significantly impacted the digital sector, including operator service applications 
such as myXL. This application facilitates user access to telecommunication 
services, yet discrepancies between user ratings and comments are often found. 
Therefore, sentiment analysis is needed to more accurately evaluate user 
satisfaction. This study aims to develop a sentiment analysis system for myXL app 
reviews using the naïve Bayes algorithm. The data consists of Indonesian-language 
reviews categorized into two classes,  namely positive and negative. Naïve Bayes is 
chosen for its efficiency and capability to handle large, imbalanced datasets. The 
study also outlines the research methodology used to build the classification system. 
Results show that the naïve Bayes model achieves an average accuracy of 87%, 
precision of 88%, recall of 85%, and f-measure of 86%. In addition to consistent 
performance across folds, the model is effective in identifying user sentiment. In 
conclusion, naïve Bayes is a simple yet reliable approach for sentiment analysis in 
the Indonesian language context and can assist developers in understanding user 
needs automatically.","Sentiment Analysis, Naïve Bayes, myXL, App Reviews, Classification",8/11/2025,"MAHENDRA, AZZA AZRA; Novia, Novia; Rodiah, Desty",http://repository.unsri.ac.id/182676/
OPTIMASI TIME-INVARIANT FUZZY TIME SERIES MENGGUNAKAN PARTICLE SWARM OPTIMIZATION UNTUK MEMPREDIKSI HARGA HASIL PERTANIAN,"Agricultural commodity prices, such as rice and red chili, tend to fluctuate and are difficult to predict. This situation complicates decision-making for farmers when planning planting and harvesting periods, for traders in managing distribution strategies, and for governments in designing price stabilization policies. To address this issue, the Time-Invariant Fuzzy Time Series (TIFTS) method is used as it can model uncertain historical data. However, TIFTS still has limitations, particularly in determining fuzzy intervals, which significantly affect prediction accuracy. Therefore, this study implements the Particle Swarm Optimization (PSO) algorithm to optimize the parameters used in TIFTS. Testing was conducted on weekly price data of rice and red chili over a two-year period. The results show that the combination of TIFTS and PSO successfully reduced the MAPE from 9.90% to 5.24% for red chili and from 0.74% to 0.25% for rice. PSO parameters such as the number of particles, iterations, inertia weight, and acceleration coefficients (c1 and c2) were found to influence prediction results. This combined approach proves effective and can be applied as a decision support system in the agricultural sector.","Prediksi harga, Time-Invariant Fuzzy Time Series, Particle Swarm Optimization, Komoditas pertanian, MAPE",7/24/2025,"NABILA, CINTA INDRIYANI PUTRI; Rini, Dian Palupi",http://repository.unsri.ac.id/182222/
ANALISIS SENTIMEN ULASAN E-COMMERCE SHOPEE TERKAIT FITUR COD DENGAN MENGGUNAKAN METODE SUPPORT VECTOR MECHINE DAN SELEKSI FITUR MUTUAL INFORMATION,"The rapid development of e-commerce in Indonesia has driven significant changes in people's shopping patterns, with Shopee as one of the most popular platforms. One of the superior features offered is Cash on Delivery (COD), which 
provides a sense of security for users in making transactions. However, this feature also raises various responses that are reflected in user reviews of the COD feature.This study aims to analyze user review sentiments towards the COD feature on Shopee e-commerce. The method used is Support Vector Machine (SVM) with feature selection using Mutual Information and text representation using Sentence Transformers. The data used are 1887 user reviews taken from Kaggle. The results of the study showed that the SVM model without feature selection produced an accuracy of 63.33% and SVM using Mutual Information feature selection produced an accuracy of 53.33%. Testing was carried out by comparing the performance of the two models using the C regulation parameter, the test results showed that the 
value of C = 1 gave the best performance for both models. Based on this, it can be concluded that the SVM model without feature selection provides better performance than the model with Mutual Information. Implementation of Mutual 
Information as a feature selection technique that is considered relevant, but decreases model performance, possibly due to the loss of important features during 
the selection process. This indicates that feature selection needs to be done carefully, especially on small data. 
Keywords: Sentence Transformers, SVM, Mutual Information,COD","Sentence Transformers, Support Vector Mechine, Mutual Information, COD",7/11/2025,"NILA, SONIA; Alvi, Syahrini Utami",http://repository.unsri.ac.id/179763/
PEMBANGKITAN TEKS BANTUAN OTOMATIS DAN PENGUKURAN KEPUASAN PEMAIN PADA PERMAINAN PEMBELAJARAN PEMROGRAMAN DENGAN LOGIKA SAMAR,"Penelitian ini membahas mengenai game edukasi pemograman dengan bantuan adaptif. Game ini memiliki puzzle yang harus di selesaikan dengan memasukkan algoritma yang tepat. Demi memunculkan bantuan yang ccok dengan pemain dibutuhkan  algoritma FUZZY LOGIC untuk menentukan bantuan mana yang akan di keluarkan. Pengujian yang dilakukan pada penelitian ini merupakan pengujian untuk mendapatkan data kepuasan dari pemain setelah memainkan permainan. Pengujian menggunakan GUESS-18 untuk mengukur tingkat kepuasan pemain. Hasil yang di dapatkan pada penelitian ini terdapat beberapa aspek yang dianggap kurang immersif oleh pemain dengan nilai rata rata 49.20, akan tetapi jika di hitung menggunakan System Usability Scale (SUS) nilai yang di dapatkan merupakan 82 yang merupakan excellent.","Bantuan Adaptif, Fuzzy Logic, game edukasi",7/11/2025,"NUGRAHA, WIBISENA; Primanita, Anggina",http://repository.unsri.ac.id/181290/
"KLASIFIKASI EMOSI TEKS SINGKAT MENGGUNAKAN METODE LONG
SHORT-TERM MEMORY (LSTM)","Short text messages, such as those found on social media and messaging
platforms, often reflect the emotional expressions of users. Emotion clasification in
these texts has significant potential for applications such as sentiment analysis and
content personalization. This study aims to develop a short text emotion
clasification model using the Long Short-Term Memory (LSTM) method. The
dataset used was obtained from the Hugging Face platform, consisting of 18,358
labeled sentences categorized into five emotions: sadness, joy, anger, fear, and
surprise. The data underwent a pre-processing phase, followed by word embedding
using Word2Vec before being input into the emotion clasification model. The
evaluation of the model was carried out under several experimental configurations
to determine optimal performance. The best results were achieved with an LSTM
configuration using 128 neurons, a dropout of 0.2, a learning rate of 0.001, batch
size of 16, and 10 epochs. The developed model achieved an accuracy of 87.61%,
a precision of 88.31%, a recall of 87.61%, and an F1-score of 87.81%, indicating
its effectiveness in detecting emotions from short text.","Klasifikasi Emosi, Long Short-Term Memory",5/23/2025,"OKTAVIAN, MUHAMMAD RAFI; Yusliani, Novi; Satria, Hadipurnawan",http://repository.unsri.ac.id/180651/
PERBANDINGAN KINERJA APACHE THRIFT DAN GRPC DALAM PEMBACAAN KATALOG E-COMMERCE,"The growth of modern e-commerce systems demands high efficiency in inter-service communication, especially within microservices architectures that require fast and reliable data exchange. One of the main challenges is selecting a communication protocol capable of handling product catalog reads under high access loads. This study compares two popular RPC protocols—gRPC and Apache Thrift—in the context of microservices-based e-commerce catalog retrieval. The implementation process involves building two backend services that are logically identical but differ in the communication protocol used. Testing was conducted under various virtual user load scenarios and analyzed using six key performance metrics: minimum, maximum, average, median, and the 90th and 95th percentiles (p90, p95). The results show that gRPC generally provides lower response times than Apache Thrift under light to heavy loads, although its performance begins to degrade under very high loads. Conversely, Apache Thrift exhibits greater performance variability but can still maintain stable throughput under certain conditions.","gRPC, Apache Thrift, katalog e-commerce, microservices, pengujian performa, Grafana K6",7/25/2025,"PRATAMA, AZIE MELZA; Marieska, Mastura Diana",http://repository.unsri.ac.id/183108/
OPTIMASI FUZZY TSUKAMOTO DALAM MENENTUKAN PREDIKSI HASIL TINGKAT RISIKO PENYAKIT JANTUNG MENGGUNAKAN ALGORITMA ARTIFICIAL BEE COLONY,"Heart disease is a common health problem. If not treated promptly, heart disease can have various impacts on a person's health, even causing death. To be able to prevent heart disease early, a method is needed that can determine whether a person is at risk of heart disease or not. This study can provide information about the risk of heart disease by determining predictions using the Fuzzy Tsukamoto method with Artificial Bee Colony optimization. The data studied amounted to 40 data, originating from the Heart Disease Dataset taken from Kaggle. To determine the prediction, 5 risk factor variables were used, namely age, cholesterol, blood sugar, blood pressure, and maximum heart rate. The results of the study showed a decrease in error value using Artificial Bee Colony optimization, namely with a MAPE (Mean Absolute Percentage Error) value from 42.43% to 36.28%. These results indicate that the Fuzzy Tsukamoto method optimized with Artificial Bee Colony can determine the prediction of the level of heart disease risk well.","Penyakit Jantung, Fuzzy Inference System Tsukamoto, Artificial Bee Colony",7/24/2025,"PRATAMA, BENEDIKTUS GALIH; Rini, Dian Palupi",http://repository.unsri.ac.id/182205/
KLASIFIKASI SHORT MESSAGE SERVICE (SMS) SPAM MENGGUNAKAN SUPPORT VECTOR MACHINE (SVM) DAN ARTIFICIAL NEURAL NETWORK (ANN),"Short Message Service (SMS) is still used as a communication medium for promotions, notifications, and official information. However, SMS is also prone to misuse in the form of spam that can be disruptive and potentially deceive users. To address this issue, an accurate SMS spam and ham classification system is needed. This study developed an SMS spam classification system using SVM and ANN with a MLP architecture. The dataset used is a secondary dataset from the Kaggle platform, consisting of 1,143 SMS messages with a balanced class distribution of 574 spam and 569 ham messages. Feature extraction was carried out using TF-IDF
and n-gram, while feature selection used Pearson Correlation. Model parameters were determined using Grid Search. The study was conducted through six testing scenarios. The results showed that the SVM model with a combination of TF-IDF and n-gram without feature selection achieved the best performance, with an accuracy of 98.25%, precision of 97.50%, recall of 99.15%, and F1-score of 98.32%. The best model used a linear kernel with a C value of 1. The findings indicate that SVM outperformed MLP-based ANN in SMS spam classification.","SMS Spam, Classification, SVM, ANN, MLP, TF-IDF, N-gram,
Pearson Correlation, Kaggle, Grid Search",6/26/2025,"PRATAMA, SHATIA EARLANGGA; Rini, Dian Palupi; Rodiah, Desty",http://repository.unsri.ac.id/179421/
EFFICIENTNET-B3 PADA METODE CONVOLUTIONAL NEURAL NETWORK UNTUK KLASIFIKASI CITRA PENYAKIT KULIT,"Early and accurate classification of skin diseases is critical given the high global prevalence WHO estimates nearly 900 million cases worldwide, with dermatitis as the most common and the uneven distribution of dermatological expertise. EfficientNet-B3 within a Convolutional Neural Network (CNN) framework was therefore investigated for multiclass classification of skin disease images. A secondary dataset of 5,000 JPG images sourced from two public Kaggle repositories and comprising five categories (eczema, malignant, melanoma, psoriasis, and seborrheic dermatitis) was preprocessed (resized to 256×256 pixels, normalized, and augmented via rotation, flip, and zoom). Three train-validation-test splits (70:15:15, 60:20:20, and 80:10:10) were evaluated under identical training conditions using sparse categorical cross-entropy loss and the Adam optimizer (learning rate 0.001) for up to 50 epochs with early stopping. Model performance was measured via accuracy, precision, recall, and F1-score on both validation and independent test sets. The 70:15:15 split yielded the most balanced results, with validation accuracy of 93.05% and test accuracy of 91.60% (precision, recall, and F1-score all 91.60%). Although the 80:10:10 split achieved the highest test accuracy (92.00%), its smaller test set introduced potential bias. Confusion matrix analysis highlighted robust inter-class classification with minor confusion among visually similar conditions. Overall, the EfficientNet-B3–based CNN demonstrated reliable feature extraction and consistent classification across five skin disease categories, supporting its potential as a decision-support tool in dermatological practice.","Klasifikasi Penyakit Kulit, EfficientNet-B3, Convolutional Neural Network, Deep Learning, Analisis Citra Medis.",5/23/2025,"PUTRA, FASCAL HARYA; Utami, Alvi Syahrini",http://repository.unsri.ac.id/176140/
